area,perimetro,eixo_maior,eixo_menor,excentricidade,eqdiasq,solidez,area_convexa,extensao,proporcao,redondidade,compactidade,fator_forma_1,fator_forma_2,fator_forma_3,fator_forma_4,RR_media,RG_media,RB_media,RR_dev,RG_dev,RB_dev,RR_inclinacao,RG_inclinacao,RB_inclinacao,RR_curtose,RG_curtose,RB_curtose,RR_entropia,RG_entropia,RB_entropia,RR_all,RG_all,RB_all
422163,2378.908,837.8484,645.6693,0.6373,733.1539,0.9947,424428,0.7831,1.2976,0.9374,0.875,0.002,0.0015,0.7657,0.9936,117.4466,109.9085,95.6774,26.5152,23.0687,30.123,-0.5661,-0.0114,0.6019,3.237,2.9574,4.2287,-59191263232,-50714214400,-39922372608,58.7255,54.9554,47.84
338136,2085.144,723.8198,595.2073,0.569,656.1464,0.9974,339014,0.7795,1.2161,0.9773,0.9065,0.0021,0.0018,0.8218,0.9993,100.0578,105.6314,95.661,27.2656,23.4952,28.1229,-0.2328,0.1349,0.4134,2.6228,2.635,3.1704,-34233065472,-37462601728,-31477794816,50.0259,52.8168,47.8315
230122,1804.354,649.0608,454.532,0.7139,541.2952,0.9883,232846,0.8192,1.428,0.8882,0.834,0.0028,0.002,0.6955,0.9932,132.2255,126.4681,124.9734,30.3215,23.5319,23.9989,-1.1363,-0.7205,-0.7576,3.8148,2.9127,3.3667,-41959481344,-37230223360,-36367020032,66.1163,63.2356,62.4892
231946,1800.8101,678.9835,436.4881,0.766,543.4361,0.9922,233763,0.7924,1.5556,0.8988,0.8004,0.0029,0.0019,0.6406,0.9965,104.8716,102.1755,111.7534,24.2007,20.5286,21.8023,-0.6461,0.0917,-0.3061,3.1537,3.5782,3.2341,-25391267840,-23603490816,-28687542272,52.4342,51.0893,55.8778
79187,1047.858,375.3784,269.2061,0.6969,317.528,0.9885,80108,0.74,1.3944,0.9063,0.8459,0.0047,0.0034,0.7155,0.9977,135.7574,132.1248,128.1628,41.1943,36.0866,39.0378,-0.4817,-0.1893,-0.1602,2.1325,1.9894,1.8957,-16038514688,-14812362752,-14150983680,67.8821,66.0672,64.0849
161855,1551.741,606.4048,341.1171,0.8268,453.9606,0.992,163156,0.7202,1.7777,0.8447,0.7486,0.0037,0.0021,0.5604,0.9963,140.1652,144.2649,126.4928,33.6918,24.3661,23.6378,-0.8811,-0.6031,-0.1673,3.1288,2.9865,2.9026,-33768984576,-34730512384,-26213009408,70.0847,72.1365,63.251
462347,2516.8679,845.5637,697.9985,0.5644,767.2538,0.9819,470882,0.7725,1.2114,0.9172,0.9074,0.0018,0.0015,0.8234,0.9974,84.8245,90.6004,79.6759,33.6708,29.2866,28.7611,0.3256,0.6882,1.2136,3.5119,4.9081,7.6895,-35777949696,-39001317376,-30265178112,42.4112,45.3011,39.8381
476569,2536.7649,886.8546,689.8232,0.6285,778.965,0.9955,478711,0.8147,1.2856,0.9306,0.8783,0.0019,0.0014,0.7715,0.9918,96.6868,95.7818,98.6969,31.996,28.555,32.326,1.1519,2.0812,1.8269,7.3685,9.7712,8.3759,-46733418496,-44724617216,-48849629184,48.3432,47.8923,49.3491
390161,2501.55,961.1851,518.9106,0.8418,704.818,0.9819,397351,0.6189,1.8523,0.7835,0.7333,0.0025,0.0013,0.5377,0.996,65.669,60.0333,75.2862,21.9695,20.4559,20.0695,0.0862,1.6781,0.3607,2.979,8.7927,3.1978,-16216041472,-13387341824,-20946847744,32.8364,30.0211,37.6468
1987,2289.3059,1222.723,2.2832,1,50.2984,0.8804,2257,0.8528,535.5257,0.0048,0.0411,0.6154,0.0011,0.0017,0.9062,94.5053,166.1354,148.2114,7.3038,8.6557,5.1486,1.146,0.1605,1.2258,7.3693,2.0304,7.4326,-162731632,-562772672,-437043456,47.2597,83.0649,74.1046
238955,1906.2679,716.6485,441.8297,0.7873,551.5859,0.9604,248795,0.6954,1.622,0.8263,0.7697,0.003,0.0018,0.5924,0.9609,102.4622,91.4354,91.2533,30.996,33.4524,25.2846,0.34,0.8228,0.5325,2.6769,2.6874,2.7991,-26048595968,-21299822592,-19809978368,51.2267,45.7162,45.626
343792,2289.272,823.8438,534.7757,0.7607,661.6113,0.9781,351472,0.6941,1.5405,0.8243,0.8031,0.0024,0.0016,0.6449,0.9935,94.6863,77.3935,79.346,30.7016,25.2166,23.7425,0.3382,0.5209,0.4318,2.5138,3.0369,3.0865,-31983476736,-20482514944,-21219354624,47.3454,38.6966,39.6738
368069,2297.5349,836.8202,572.043,0.7299,684.5729,0.9825,374626,0.7085,1.4629,0.8762,0.8181,0.0023,0.0016,0.6692,0.979,107.5694,100.7357,102.7708,28.3613,26.9829,24.1137,0.0604,0.2832,-0.3422,2.5352,2.4905,2.958,-43500625920,-37737820160,-38624436224,53.7853,50.3697,51.3873
349184,2214.7261,792.7963,600.6845,0.6526,666.7795,0.9538,366102,0.7218,1.3198,0.8946,0.841,0.0023,0.0017,0.7074,0.9336,129.2754,123.9534,109.5104,32.7995,30.4105,28.5508,-0.0869,0.1907,0.3895,2.506,2.5406,2.3086,-61508153344,-55801462784,-42869469184,64.6368,61.9782,54.7564
